index,cx,cy,dx,dy
a-147.6x-162,-147.6,-162,-6.1E-06,0
a-144x-162,-144,-162,0,0
a-140.4x-162,-140.4,-162,6.1E-06,0
a-136.8x-162,-136.8,-162,-3.1E-06,0
a-133.2x-162,-133.2,-162,3.1E-06,0
a-129.6x-162,-129.6,-162,-6.1E-06,0
a-126x-162,-126,-162,0,0
a-122.4x-162,-122.4,-162,-1.5E-06,0
a-118.8x-162,-118.8,-162,-3.1E-06,0
a-115.2x-162,-115.2,-162,3.1E-06,0
a-111.6x-162,-111.6,-162,1.5E-06,0
a-108x-162,-108,-162,0,0
a-104.4x-162,-104.4,-162,-1.5E-06,0
a-100.8x-162,-100.8,-162,-3.1E-06,0
a-97.2x-162,-97.2,-162,3.1E-06,0
a-93.6x-162,-93.6,-162,1.5E-06,0
a-90x-162,-90,-162,0,0
a-86.4x-162,-86.4,-162,-1.5E-06,0
a-82.8x-162,-82.8,-162,-3.1E-06,0
