index,x,y,dx,dy
a-10.8x-169.2,-10.8,-169.2,-1.862731455,-0.074198406
a-7.2x-169.2,-7.2,-169.2,-1.841835996,-0.129789363
a-3.6x-169.2,-3.6,-169.2,-1.817756397,-0.184854474
a0x-169.2,0,-169.2,-1.790273045,-0.237183601
a3.6x-169.2,3.6,-169.2,-1.759618125,-0.287978337
a7.2x-169.2,7.2,-169.2,-1.726151573,-0.334621326
a10.8x-169.2,10.8,-169.2,-1.689975632,-0.379656322
a14.4x-169.2,14.4,-169.2,-1.651691905,-0.42238997
a18x-169.2,18,-169.2,-1.609829627,-0.462320293
a21.6x-169.2,21.6,-169.2,-1.567154965,-0.50000017
a25.2x-169.2,25.2,-169.2,-1.521681238,-0.532982668
a28.8x-169.2,28.8,-169.2,-1.474309408,-0.562320172
a32.4x-169.2,32.4,-169.2,-1.425950293,-0.588452056
a36x-169.2,36,-169.2,-1.37487116,-0.613355198
a39.6x-169.2,39.6,-169.2,-1.325565824,-0.632623459
a43.2x-169.2,43.2,-169.2,-1.272697353,-0.648995415
a46.8x-169.2,46.8,-169.2,-1.221545399,-0.660999019
a50.4x-169.2,50.4,-169.2,-1.168743766,-0.670950838
a54x-169.2,54,-169.2,-1.116178705,-0.675913769
a57.6x-169.2,57.6,-169.2,-1.064890096,-0.678044848
a61.2x-169.2,61.2,-169.2,-1.011143599,-0.676720519
a64.8x-169.2,64.8,-169.2,-0.962102913,-0.671499719
a68.4x-169.2,68.4,-169.2,-0.910225771,-0.663431873
a72x-169.2,72,-169.2,-0.861473114,-0.652744475
a75.6x-169.2,75.6,-169.2,-0.813635877,-0.638716442
a79.2x-169.2,79.2,-169.2,-0.765909145,-0.621050074
a82.8x-169.2,82.8,-169.2,-0.722702148,-0.601317427
a86.4x-169.2,86.4,-169.2,-0.676697655,-0.577991552
a90x-169.2,90,-169.2,-0.637494387,-0.553863852
a93.6x-169.2,93.6,-169.2,-0.59561299,-0.526163989
a97.2x-169.2,97.2,-169.2,-0.558304958,-0.496649795
a100.8x-169.2,100.8,-169.2,-0.523818429,-0.465264058
a104.4x-169.2,104.4,-169.2,-0.489130976,-0.432574841
a108x-169.2,108,-169.2,-0.460546955,-0.397738594
a111.6x-169.2,111.6,-169.2,-0.428616158,-0.362154603
a115.2x-169.2,115.2,-169.2,-0.40504677,-0.324753965
a118.8x-169.2,118.8,-169.2,-0.378402927,-0.286570362
a122.4x-169.2,122.4,-169.2,-0.357934941,-0.246940899
a126x-169.2,126,-169.2,-0.337960626,-0.206649942
a129.6x-169.2,129.6,-169.2,-0.319224221,-0.165716226
a133.2x-169.2,133.2,-169.2,-0.306448934,-0.124759542
a136.8x-169.2,136.8,-169.2,-0.290191049,-0.083426718
a140.4x-169.2,140.4,-169.2,-0.282931644,-0.041494725
a144x-169.2,144,-169.2,-0.269005217,-0.000290073
a147.6x-169.2,147.6,-169.2,-0.265582989,0.041703336
a151.2x-169.2,151.2,-169.2,-0.257476344,0.083495334
a154.8x-169.2,154.8,-169.2,-0.253978025,0.124962481
a158.4x-169.2,158.4,-169.2,-0.250961529,0.167183953
a162x-169.2,162,-169.2,-0.247551433,0.209232018
a165.6x-169.2,165.6,-169.2,-0.251082919,0.249789376
a169.2x-169.2,169.2,-169.2,-0.247888544,0.290080325
a172.8x-169.2,172.8,-169.2,-0.254671718,0.330232142
a176.4x-169.2,176.4,-169.2,-0.251760059,0.370360689
a-180x-165.6,-180,-165.6,-0.236439484,1.870346955
