OBJECTID,index,cx,cy,x,y,dx,dy
45,a-21.6x-180,-21.6,-180,-21.6,-180,1.00002E-10,9.99876E-11
46,a-18x-180,-18,-180,-18,-180,9.99982E-11,9.99876E-11
47,a-14.4x-180,-14.4,-180,-14.4,-180,1E-10,9.99876E-11
48,a-10.8x-180,-10.8,-180,-10.8,-180,1E-10,9.99876E-11
49,a-7.2x-180,-7.2,-180,-7.2,-180,1E-10,9.99876E-11
50,a-3.6x-180,-3.6,-180,-3.6,-180,9.99703E-11,9.99876E-11
51,a0x-180,9.9988E-11,-180,0,-180,9.9988E-11,9.99876E-11
52,a3.6x-180,3.6,-180,3.6,-180,9.99498E-11,9.99876E-11
53,a7.2x-180,7.2,-180,7.2,-180,9.99698E-11,9.99876E-11
54,a10.8x-180,10.8,-180,10.8,-180,9.98988E-11,9.99876E-11
55,a14.4x-180,14.4,-180,14.4,-180,9.99005E-11,9.99876E-11
56,a18x-180,18,-180,18,-180,9.98988E-11,9.99876E-11
57,a21.6x-180,21.6,-180,21.6,-180,9.98988E-11,9.99876E-11
58,a25.2x-180,25.2,-180,25.2,-180,9.99023E-11,9.99876E-11
59,a28.8x-180,28.8,-180,28.8,-180,9.98988E-11,9.99876E-11
60,a32.4x-180,32.4,-180,32.4,-180,9.99023E-11,9.99876E-11
61,a36x-180,36,-180,36,-180,9.99023E-11,9.99876E-11
62,a39.6x-180,39.6,-180,39.6,-180,9.98952E-11,9.99876E-11
63,a43.2x-180,43.2,-180,43.2,-180,9.98952E-11,9.99876E-11
64,a46.8x-180,46.8,-180,46.8,-180,9.99023E-11,9.99876E-11
65,a50.4x-180,50.4,-180,50.4,-180,9.99023E-11,9.99876E-11
66,a54x-180,54,-180,54,-180,9.99023E-11,9.99876E-11
67,a57.6x-180,57.6,-180,57.6,-180,9.98952E-11,9.99876E-11
68,a61.2x-180,61.2,-180,61.2,-180,9.98952E-11,9.99876E-11
69,a64.8x-180,64.8,-180,64.8,-180,9.99023E-11,9.99876E-11
70,a68.4x-180,68.4,-180,68.4,-180,9.98881E-11,9.99876E-11
71,a72x-180,72,-180,72,-180,9.99023E-11,9.99876E-11
72,a75.6x-180,75.6,-180,75.6,-180,9.99023E-11,9.99876E-11
73,a79.2x-180,79.2,-180,79.2,-180,9.99023E-11,9.99876E-11
74,a82.8x-180,82.8,-180,82.8,-180,9.99023E-11,9.99876E-11
75,a86.4x-180,86.4,-180,86.4,-180,9.98881E-11,9.99876E-11
76,a90x-180,90,-180,90,-180,9.99023E-11,9.99876E-11
77,a93.6x-180,93.6,-180,93.6,-180,1.00002E-10,9.99876E-11
78,a97.2x-180,97.2,-180,97.2,-180,9.99023E-11,9.99876E-11
79,a100.8x-180,100.8,-180,100.8,-180,1.00002E-10,9.99876E-11
80,a104.4x-180,104.4,-180,104.4,-180,9.89928E-11,9.99876E-11
81,a108x-180,108,-180,108,-180,9.9007E-11,9.99876E-11
82,a111.6x-180,111.6,-180,111.6,-180,1.00002E-10,9.99876E-11
83,a115.2x-180,115.2,-180,115.2,-180,9.89928E-11,9.99876E-11
84,a118.8x-180,118.8,-180,118.8,-180,1.00002E-10,9.99876E-11
85,a122.4x-180,122.4,-180,122.4,-180,9.99876E-11,9.99876E-11
86,a126x-180,126,-180,126,-180,9.9007E-11,9.99876E-11
87,a129.6x-180,129.6,-180,129.6,-180,9.89928E-11,9.99876E-11
88,a133.2x-180,133.2,-180,133.2,-180,9.90212E-11,9.99876E-11
89,a136.8x-180,136.8,-180,136.8,-180,9.99876E-11,9.99876E-11
90,a140.4x-180,140.4,-180,140.4,-180,9.99876E-11,9.99876E-11
91,a144x-180,144,-180,144,-180,9.99876E-11,9.99876E-11
92,a147.6x-180,147.6,-180,147.6,-180,9.89928E-11,9.99876E-11
93,a151.2x-180,151.2,-180,151.2,-180,9.90212E-11,9.99876E-11
94,a154.8x-180,154.8,-180,154.8,-180,9.99876E-11,9.99876E-11
95,a158.4x-180,158.4,-180,158.4,-180,9.99876E-11,9.99876E-11
96,a162x-180,162,-180,162,-180,9.99876E-11,9.99876E-11
97,a165.6x-180,165.6,-180,165.6,-180,9.89928E-11,9.99876E-11
98,a169.2x-180,169.2,-180,169.2,-180,9.90212E-11,9.99876E-11
99,a172.8x-180,172.8,-180,172.8,-180,9.99876E-11,9.99876E-11
100,a176.4x-180,176.4,-180,176.4,-180,9.99876E-11,9.99876E-11
